review,label
I loved this movie,1
Amazing acting and great story,1
Best film ever,1
Wonderful experience,1
I hated this movie,0
Worst film ever,0
Very boring and slow,0
Terrible acting,0
Excellent screenplay and music,1
Not worth watching,0
Fantastic direction,1
Waste of time,0
I love this product,1
Amazing quality and excellent performance,1
Very useful and easy to use,1
Best purchase ever,1
Highly recommended product,1
Fantastic service and quick support,1
Great customer experience,1
The food was delicious and fresh,1
Wonderful restaurant experience,1
This app is very helpful,1
Smooth and fast application,1
Excellent design and interface,1
Amazing acting and great story,1
Best movie ever,1
Wonderful film experience,1
I enjoyed this game a lot,1
Very creative and fun game,1
This laptop works perfectly,1
Battery life is amazing,1
Very satisfied with the results,1
I hate this product,0
Worst purchase ever,0
Poor quality and bad design,0
Terrible customer service,0
Very disappointing experience,0
The food was cold and tasteless,0
Worst restaurant ever,0
This app crashes frequently,0
Very slow and buggy software,0
Bad interface and confusing design,0
Worst movie ever,0
Terrible acting and boring story,0
I wasted my money,0
Not worth buying,0
Very frustrating to use,0
This game is boring,0
Laptop battery drains quickly,0
Screen quality is terrible,0
Completely useless item,0
Awful experience overall,0
Excellent camera quality,1
Fast delivery and nice packaging,1
Very happy with this service,1
Loved the update of this app,1
The story was emotional and touching,1
Cheap material and poor build,0
Support team never replied,0
The product stopped working,0
Very bad sound quality,0
I regret buying this item,0
Excellent camera quality,1
Great camera and amazing quality,1
Very good camera performance,1
High quality camera and battery,1
Excellent picture quality,1
Excellent camera quality,1
Amazing camera quality,1
Poor camera quality,0
Bad camera quality,0
Poor picture quality,0
Terrible sound quality,0
